classTypeCode,description
618,ARACK/RAKI
619,OTHER (HERBS & SEEDS)
620,CORDIALS (CREMES OR CREAMS)
621,CREME DE CACAO WHITE
622,CREME DE CACAO BROWN
623,CREME DE MENTHE WHITE
624,CREME DE MENTHE GREEN
625,CREME DE ALMOND (NOYAUX)
627,DAIRY CREAM LIQUEUR/CORDIAL
628,NON DAIRY CREME LIQUEUR/CORDIAL
629,OTHER LIQUEUR (CREME OR CREAMS)
632,BLACKBERRY FLAVORED BRANDY
638,LIQUEUR & BRANDY
640,SPECIALTIES & PROPRIETARIES
641,WHISKY SPECIALTIES
642,GIN SPECIALTIES
643,VODKA SPECIALTIES
644,RUM SPECIALTIES
645,LIQUEURS (WHISKY)
646,LIQUEURS (GIN)
647,LIQUEURS (VODKA)
648,LIQUEURS (RUM)
649,OTHER SPECIALTIES & PROPRIETARIES
650,CORDIALS (FRUIT & PEELS)
651,FRUIT FLAVORED LIQUEURS
653,CURACAO
654,TRIPLE SEC
655,SLOE GIN
656,"ROCK & RYE, RUM & BRANDY (ETC)"
657,FRUITS & PEELS SCHNAPPS LIQUEUR
659,OTHER FRUIT & PEELS LIQUEURS
660,CORDIALS (HERBS & SEEDS)
661,"ANISETTE, OUZO, OJEN"
662,COFFEE (CAFE) LIQUEUR
663,KUMMEL
664,PEPPERMINT SCHNAPPS
665,HERBS & SEEDS SCHNAPPS LIQUEUR
666,AMARETTO
667,SAMBUCA
668,ARACK/RAKI
669,OTHER HERB & SEED CORDIALS/LIQUEURS
670,CORDIALS (CREMES OR CREAMS)
671,CREME DE CACAO WHITE
672,CREME DE CACAO BROWN
673,CREME DE MENTHE WHITE
674,CREME DE MENTHE GREEN
675,CREME DE ALMOND (NOYAUX)
677,DAIRY CREAM LIQUEUR/CORDIAL
678,NON DAIRY CREME LIQUEUR/CORDIAL
679,OTHER LIQUEUR (CREMES OR CREAMS)
680,FLAVORED BRANDY
681,APRICOT FLAVORED BRANDY
682,BLACKBERRY FLAVORED BRANDY
683,PEACH FLAVORED BRANDY
684,CHERRY FLAVORED BRANDY
685,GINGER FLAVORED BRANDY
688,LIQUEUR & BRANDY
689,OTHER FLAVORED BRANDY
690,SPECIALITIES & PROPRIETARIES
691,WHISKY SPECIALTIES
692,GIN SPECIALTIES
693,VODKA SPECIALTIES
694,RUM SPECIALTIES
695,LIQUEURS (WHISKY)
696,LIQUEURS (GIN)
697,LIQUEURS (VODKA)
698,LIQUEURS (RUM)
699,OTHER SPECIALTIES & PROPRIETARIES
700,COCKTAILS 48 PROOF UP
701,WHISKY MANHATTAN (48 PROOF UP)
702,WHISKY OLD FASHIONED (48 PROOF UP)
703,WHISKY SOUR (48 PROOF UP )
704,MARGARITA (48 PROOF UP)
706,GIN MARTINI (48 PROOF UP)
707,GIN SOUR (48 PROOF UP)
710,COCKTAILS 48 PROOF UP (CONT)
711,VODKA MARTINI (48 PROOF UP)
714,DAIQUIRI (48 PROOF UP)
716,BRANDY STINGER (48 PROOF UP)
717,BRANDY SIDE CAR (48 PROOF UP)
718,COLADA (48PROOF UP)
719,OTHER COCKTAILS (48PROOF UP)
720,COCKTAILS UNDER 48 PROOF
721,WHISKY MANHATTAN (UNDER 48 PROOF)
722,WHISKY OLD FASHIONED (UNDER 48 PROOF)
723,WHISKY SOUR (UNDER 48 PROOF)
724,MARGARITA (UNDER 48 PROOF)
725,OTHER TEQUILA-BASED COCKTAILS (UNDER 48 PROOF)
726,GIN MARTINI (UNDER 48 PROOF)
727,GIN SOUR (UNDER 48 PROOF)
730,COCKTAILS UNDER 48 PROOF (CONT)
731,VODKA MARTINI (UNDER 48 PROOF)
734,DAIQUIRI (UNDER 48 PROOF)
736,BRANDY STINGER (UNDER 48 PROOF)
737,BRANDY SIDE CAR (UNDER 48 PROOF)
738,COLADA (UNDER 48 PROOF)
739,OTHER COCKTAILS (UNDER 48 PROOF)
740,MIXED DRINKS-HI BALLS COCKTAILS
741,SCREW DRIVER
742,COLLINS
743,BLOODY MARY
747,EGG NOG
749,OTHER MIXED DRINKS HI-BALLS COCKTAILS
750,COCKTAILS 48 PROOF UP
751,WHISKY MANHATTAN (48 PROOF UP)
752,WHISKY OLD FASHIONED (48 PROOF UP)
753,WHISKY SOUR (48 PROOF UP)
754,MARGARITA 48 PROOF UP
756,GIN MARTINI 48 PROOF UP
757,GIN SOUR 48 PROOF UP
761,VODKA MARTINI 48 PROOF UP
764,DAIQUIRI 48 PROOF UP
766,BRANDY STINGER 48 PROOF UP
767,BRANDY SIDE CAR 48 PROOF UP
768,COLADA (48 PROOF UP )
769,OTHER COCKTAILS (48 PROOF UP)
770,COCKTAILS UNDER 48 PROOF
771,WHISKY MANHATTAN UNDER 48 PROOF
772,WHISKY OLD FASHIONED UNDER 48 PROOF
773,WHISKY SOUR UNDER 48 PROOF
774,MARGARITA UNDER 48 PROOF
775,OTHER TEQUILA-BASED COCKTAILS (UNDER 48 PROOF)
776,GIN MARTINI UNDER 48 PROOF
777,GIN SOUR UNDER 48 PROOF
780,COCKTAILS UNDER 48 PR(CONT)
781,VODKA MARTINI UNDER 48 PROOF
782,VODKA SOUR UNDER 48 PROOF
784,DAIQUIRI UNDER 48 PROOF
786,BRANDY STINGER UNDER 48 PROOF
787,BRANDY SIDE CAR UNDER 48 PROOF
788,COLADA (UNDER 48 PROOF )
789,OTHER COCKTAILS (UNDER 48 PROOF)
790,MIXED DRINKS-HI BALLS COCKTAILS
791,SCREW DRIVER
792,COLLINS
793,BLOODY MARY
797,EGG NOG
799,OTHER MIXED DRINKS HI-BALLS COCKTAILS
80,TABLE RED WINE
80A,ROSE WINE
81,TABLE WHITE WINE
82,TABLE FLAVORED WINE
82C,APPLE BASED FLAVORED WINE
82M,HONEY BASED TABLE WINE
83,TABLE FRUIT WINE
83C,APPLE TABLE WINE/CIDER
84,SPARKLING WINE/CHAMPAGNE
84C,SPARKLING WINE/ CIDER
84M,SPARKLING WINE/MEAD
85,CARBONATED WINE
85C,CARBONATED WINE/CIDER
85M,CARBONATED WINE/MEAD
86,VERMOUTH/MIXED TYPES
87,DESSERT FLAVORED WINE
87C,APPLE BASED DESSERT FLAVORED WINE
87M,HONEY BASED DESSERT WINE
88,DESSERT /PORT/SHERRY/(COOKING) WINE
89,DESSERT FRUIT WINE
89C,APPLE DESSERT WINE/CIDER
900,MALT BEVERAGES
901,BEER
902,ALE
903,MALT LIQUOR
904,STOUT
905,PORTER
906,MALT BEVERAGES SPECIALITIES - FLAVORED
907,CEREAL BEVERAGES - NEAR BEER (NON ALCOHOLIC)
908,IRC BEER
909,OTHER MALT BEVERAGES (BEER)
920,OTHER SPIRITS
921,NEUTRAL SPIRITS - GRAIN
922,NEUTRAL SPIRITS - FRUIT
923,NEUTRAL SPIRITS - CANE
924,NEUTRAL SPIRITS - VEGETABLE
925,NEUTRAL SPIRITS - PETROLEUM
926,BITTERS - BEVERAGE
928,GRAIN SPIRITS
929,OTHER SPIRITS
931,SAKE
934,SAKE - DOMESTIC FLAVORED
940,NON ALCOHOLIC MIXES
943,AGAVE SPIRITS
950,MALT BEVERAGES
951,BEER
952,ALE
953,MALT LIQUOR
954,STOUT
955,PORTER
956,MALT BEVERAGES SPECIALITIES
957,CEREAL BEVERAGES - NEAR BEER (NON ALCOHOLIC)
958,IRC BEER-IMPORTED
959,OTHER MALT BEVERAGES
970,OTHER SPIRITS
971,NEUTRAL SPIRITS - GRAIN
972,NEUTRAL SPIRITS - FRUIT
973,NEUTRAL SPIRITS - CANE
974,NEUTRAL SPIRITS - VEGETABLE
975,NEUTRAL SPIRITS - PETROLEUM
976,BITTERS - BEVERAGE*
977,TEQUILA FB
978,TEQUILA USB
979,MEZCAL
980,MEZCAL FB
981,SAKE - IMPORTED
983,AGAVE SPIRITS
984,SAKE - IMPORTED FLAVORED
985,DILUTED TEQUILA FB
986,DILUTED TEQUILA USB
987,FLAVORED AGAVE SPIRIT
988,FLAVORED TEQUILA
989,FLAVORED MEZCAL
990,NON ALCOHOL MIXES
991,DILUTED MEZCAL
